id;channel;address;verified;active;recipient_id
1;EMAIL;at;false;false;1
2;WHATSAPP;for developmental since;false;true;2
3;WHATSAPP;swathe;false;true;3
4;EMAIL;briefly finally monstrous;true;true;4
5;EMAIL;flint parade smoothly;true;false;5
6;WHATSAPP;machine cornet;true;true;6
7;TELEGRAM;phew platypus;true;false;7
8;TELEGRAM;scent;false;true;8
9;WHATSAPP;gadzooks;false;false;9
10;EMAIL;entice;true;false;10
11;WHATSAPP;snowplow bonfire outrun;false;true;11
12;TELEGRAM;superb while opposite;false;false;12
13;EMAIL;via about atop;false;true;13
14;WHATSAPP;after heavily;true;false;14
15;TELEGRAM;highly gestate;false;true;15
16;TELEGRAM;colorize ha;true;false;16
17;EMAIL;afore majestic unnecessarily;false;true;17
18;WHATSAPP;yet happily;true;false;18
19;EMAIL;and whoa;true;false;19
20;TELEGRAM;scarcely yum splay;false;false;20
21;WHATSAPP;voluntarily provided blissfully;true;false;21
22;TELEGRAM;lumpy reservation;true;false;22
23;EMAIL;fast peppery oof;true;true;23
24;WHATSAPP;immediate polarisation which;false;true;24
25;WHATSAPP;favorite till plain;false;false;25
26;EMAIL;godfather;true;true;26
27;TELEGRAM;meanwhile sonar however;true;true;27
28;TELEGRAM;responsibility chime solidly;true;true;28
29;WHATSAPP;fraudster taxicab;true;false;29
30;WHATSAPP;oof rarely;true;true;30
