id;subject;body_html;status;recipient_count;created_at;sent_at;organization_id
1;phooey obstruct;../fake-data/blob/hipster.txt;FAILED;21842;2026-09-09T16:04:29;2026-09-10T04:58:34;1
2;scornful trust brown;../fake-data/blob/hipster.txt;FAILED;13145;2026-09-10T05:29:00;2026-09-09T06:35:44;2
3;bossy elderly;../fake-data/blob/hipster.txt;QUEUED;9290;2026-09-09T19:03:25;2026-09-10T04:19:26;3
4;miskey;../fake-data/blob/hipster.txt;QUEUED;25735;2026-09-09T12:52:21;2026-09-10T03:54:09;4
5;optimal;../fake-data/blob/hipster.txt;DRAFT;211;2026-09-09T17:09:07;2026-09-10T00:19:33;5
6;disbar phooey husk;../fake-data/blob/hipster.txt;DRAFT;15562;2026-09-09T17:54:19;2026-09-10T04:59:17;6
7;cripple frightfully whether;../fake-data/blob/hipster.txt;DRAFT;9673;2026-09-09T23:22:15;2026-09-09T11:15:37;7
8;yet sans trim;../fake-data/blob/hipster.txt;PARTIAL;3752;2026-09-09T13:30:34;2026-09-09T13:15:06;8
9;instead;../fake-data/blob/hipster.txt;PARTIAL;1384;2026-09-09T18:38:14;2026-09-09T12:47:59;9
10;shovel;../fake-data/blob/hipster.txt;QUEUED;16148;2026-09-10T04:33:06;2026-09-09T15:54:23;10
11;physically yet where;../fake-data/blob/hipster.txt;QUEUED;12849;2026-09-09T19:37:02;2026-09-09T12:22:24;11
12;jealous birth milestone;../fake-data/blob/hipster.txt;QUEUED;30585;2026-09-09T14:53:10;2026-09-10T06:28:43;12
13;pish lady apud;../fake-data/blob/hipster.txt;PARTIAL;19454;2026-09-09T17:11:14;2026-09-09T07:44:36;13
14;brr finding;../fake-data/blob/hipster.txt;SENT;15789;2026-09-09T11:34:11;2026-09-09T23:35:29;14
15;fishery;../fake-data/blob/hipster.txt;DRAFT;16808;2026-09-10T06:25:31;2026-09-10T03:07:59;15
16;whether father;../fake-data/blob/hipster.txt;SENT;25186;2026-09-10T05:09:30;2026-09-09T17:57:00;16
17;fictionalize plus;../fake-data/blob/hipster.txt;SENT;15821;2026-09-09T15:06:33;2026-09-09T14:02:32;17
18;vain suckle yuck;../fake-data/blob/hipster.txt;QUEUED;16744;2026-09-09T08:50:13;2026-09-09T08:21:14;18
19;like flood;../fake-data/blob/hipster.txt;PARTIAL;4258;2026-09-09T13:12:47;2026-09-09T10:24:33;19
20;junior possible classic;../fake-data/blob/hipster.txt;SENT;10943;2026-09-10T01:49:26;2026-09-09T15:30:02;20
21;meanwhile;../fake-data/blob/hipster.txt;FAILED;32360;2026-09-09T14:11:54;2026-09-09T15:46:50;21
22;wetly;../fake-data/blob/hipster.txt;SENT;30505;2026-09-09T15:24:47;2026-09-09T20:38:07;22
23;newsletter publicity restfully;../fake-data/blob/hipster.txt;QUEUED;17749;2026-09-09T08:01:51;2026-09-09T08:25:59;23
24;meh fowl;../fake-data/blob/hipster.txt;PARTIAL;7302;2026-09-09T08:23:24;2026-09-09T14:48:18;24
25;pish a;../fake-data/blob/hipster.txt;QUEUED;21847;2026-09-10T03:47:03;2026-09-09T18:09:57;25
26;or;../fake-data/blob/hipster.txt;DRAFT;29922;2026-09-10T06:12:19;2026-09-09T09:58:37;26
27;politely sadly like;../fake-data/blob/hipster.txt;FAILED;18831;2026-09-09T07:11:36;2026-09-10T01:55:50;27
28;meh;../fake-data/blob/hipster.txt;FAILED;24991;2026-09-09T20:19:06;2026-09-10T04:35:12;28
29;masquerade;../fake-data/blob/hipster.txt;QUEUED;8857;2026-09-10T04:15:34;2026-09-09T20:16:17;29
30;canter astonishing;../fake-data/blob/hipster.txt;DRAFT;7001;2026-09-10T01:03:49;2026-09-09T12:09:59;30
