id;channel;status;provider_message_id;error_message;sent_at;delivered_at;recipient_id;message_id
1;EMAIL;PENDING;failing vicinity poorly;hornet;2026-09-09T22:29:40;2026-09-09T19:20:49;1;1
2;WHATSAPP;SKIPPED;among;hole pro which;2026-09-09T20:26:01;2026-09-09T23:23:13;2;2
3;WHATSAPP;PENDING;litter after;emphasize;2026-09-09T17:19:07;2026-09-09T21:08:12;3;3
4;TELEGRAM;SENT;likable finally whenever;surface outside;2026-09-09T17:37:26;2026-09-09T18:15:35;4;4
5;EMAIL;SENT;carboxyl behind;even who;2026-09-09T17:06:54;2026-09-10T02:35:38;5;5
6;EMAIL;DELIVERED;imaginary;incidentally before;2026-09-09T09:22:25;2026-09-09T20:29:25;6;6
7;WHATSAPP;SKIPPED;gadzooks duh;so;2026-09-09T13:43:37;2026-09-09T09:37:57;7;7
8;EMAIL;FAILED;eke how;whenever fearless;2026-09-09T19:39:19;2026-09-09T08:50:28;8;8
9;TELEGRAM;FAILED;phew;refer motionless conversation;2026-09-10T05:51:12;2026-09-09T16:13:51;9;9
10;WHATSAPP;SKIPPED;ack;ocelot;2026-09-09T13:55:00;2026-09-09T09:03:34;10;10
11;TELEGRAM;SENT;nun smooth;sleepy accountability;2026-09-10T02:59:16;2026-09-09T18:53:35;11;11
12;EMAIL;SKIPPED;wicked;down marimba nougat;2026-09-09T12:45:31;2026-09-09T15:46:48;12;12
13;TELEGRAM;FAILED;square oof;state;2026-09-10T01:23:59;2026-09-09T20:56:08;13;13
14;TELEGRAM;SENT;terraform plus;unto redraw;2026-09-09T08:59:41;2026-09-09T13:31:55;14;14
15;TELEGRAM;DELIVERED;sate;gadzooks;2026-09-10T02:54:00;2026-09-10T00:00:59;15;15
16;WHATSAPP;FAILED;bowler;wedge cheerfully;2026-09-09T11:18:04;2026-09-10T01:44:51;16;16
17;TELEGRAM;FAILED;elver silt;zowie although ah;2026-09-09T14:14:38;2026-09-09T23:09:59;17;17
18;TELEGRAM;SKIPPED;coin inasmuch;accountability careless;2026-09-10T06:21:21;2026-09-09T08:35:19;18;18
19;TELEGRAM;FAILED;numb consequently;tool;2026-09-09T18:53:35;2026-09-10T04:47:20;19;19
20;WHATSAPP;SKIPPED;beneath;mature gleaming coal;2026-09-09T16:06:02;2026-09-10T04:32:27;20;20
21;EMAIL;DELIVERED;shred;diversity;2026-09-09T15:59:48;2026-09-10T03:33:56;21;21
22;TELEGRAM;FAILED;blaring near;across;2026-09-10T01:37:40;2026-09-09T16:26:05;22;22
23;TELEGRAM;FAILED;against anenst for;until;2026-09-09T18:15:04;2026-09-09T15:40:08;23;23
24;WHATSAPP;SENT;vary;concerning undergo;2026-09-09T19:43:41;2026-09-09T07:17:21;24;24
25;WHATSAPP;PENDING;supposing longingly;wordy disarm ick;2026-09-09T10:08:25;2026-09-09T23:42:45;25;25
26;WHATSAPP;FAILED;bony highly untidy;shyly besides optimistically;2026-09-09T07:14:02;2026-09-10T01:01:23;26;26
27;WHATSAPP;FAILED;accentuate redound vice;intensely meh;2026-09-09T10:52:28;2026-09-09T12:22:27;27;27
28;WHATSAPP;DELIVERED;geez beyond;notarize;2026-09-09T16:52:24;2026-09-09T20:06:06;28;28
29;EMAIL;PENDING;after;account display;2026-09-09T07:26:10;2026-09-09T19:26:08;29;29
30;EMAIL;PENDING;ack very while;swerve rarely;2026-09-09T14:46:41;2026-09-09T21:06:56;30;30
